first,name,organization,image (please don't edit),bioguide,twitter,state,phone,email,party affiliation,office 1,office 1 phone,office 1 geo,office 2,office 2 phone,office 2 geo,office 3,office 3 phone,office 3 geo,office 4,office 4 phone,office 4 geo,office 5,office 5 phone,office 5 geo,office 6,office 6 phone,office 6 geo,office 7,office 7 phone,office 7 geo,office 8,office 8 phone,office 8 geo,Event 1,Event 2,EFF score -4 (to,First cloture vote USAF,,,sp/co FISA Courts Reform Act (+3),"sp/co S. 1551, IOSRA (+4)",sp/co FISA Improvements Act (-4),sp/co FISA Transparency & Modernization Act (-4),sp/co Surveillance State Repeal Act (2014 or 2015) (+4),sp/co USA FREEDOM prior to 2014-05-18 (+2),voted for Conyers/Amash amendment (+4),voted for House version of USA Freedom 2014 (-2),voted for Massie-Lofgren amendment 2014 (+3),Sp/co whistleblower protection for IC employees/contractors,1st USAF cloture vote,Straight reauth,Sp/co FISA Reform Act,Amdmt 1449: Data retention,Amdmt 1450: Extend implementation to 1yr,Amdmt 1451: Gut amicus,Final passage USAF,Sp/co 702 reforms (+4),Massie-Lofgrenamdmt to HR2685: Defund 702 (+3/-3),Massie-Lofgren amdmt on HR4870: No Encryption Backdoors (+3/-3),Total points,Grade,,,
Amy,Klobuchar,Senate,mnklobucharamy.jpg,K000367,amyklobuchar,Minnesota,202-224-3244,http://www.klobuchar.senate.gov/public/email-amy,Democrat,"1130 1/2 7th Street NW, Suite 208
Rochester, MN 55901",507-288-5321 ,"44.0314797,-92.4797717","Olcott Plaza, Room 105
820 9th Street North
Virginia, MN 55792",218-741-9690 ,"47.5303682,-92.5464611","121 4th Street South
Moorhead, MN 56560",218-287-2219,"46.873119,-96.774188","1200 Washington Avenue South, Suite 250
Minneapolis, MN 55415",612-727-5220,"44.9750679,-93.2505501",,,,,,,,,,,,,,,0,1,,,0,0,0,0,0,0,0,0,0,0,1,3,0,1,1,1,1,0,0,0,8,B,,,
Steve,Knight,House,caknightsteve.jpg,K000387,,California,,,Republican,,,"1008 West Avenue M-14Suite E Palmdale,  CA 93551",(661) 441-0320,"34.6327362,-118.14842","1445 E. Los Angeles Avenue #206 Simi Valley,  CA 93065",(805) 581-7130,"34.2721483,-118.7716672",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3,0,-2,D+,,,
Ann,Kuster,House,nhkusterannmclane.jpg,K000382,RepAnnieKuster,New Hampshire,,,Democrat,,,"27085 Gratiot Ave Roseville, MI 48066",586-498-7122,"42.4954994,-82.9387694",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,0,-2,3,0,0,0,0,0,0,0,1,0,3,3,10,A-,,,
Raúl,Labrador,House,idlabradorraulr.jpg,L000573,Raul_Labrador,Idaho,,,Republican,,,"100 Peachtree St., N.W. # 1920, Atlanta, GA 30303",(404) 659-0116,"33.7562708,-84.3885226",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,4,0,3,0,0,0,0,0,0,0,4,4,3,3,23,A+,,,
Doug,LaMalfa,House,camalfadougla.jpg,L000578,RepLaMalfa,California,,,Republican,,,"635 N. First Street, Suite B, San Jose, CA 95112",408-271-8700,"37.347563,-121.899456",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,4,-2,3,0,0,0,0,0,0,0,1,4,3,3,18,A+,,,
Doug,Lamborn,House,colamborndoug.jpg,L000564,RepDLamborn,Colorado,,,Republican,,,"222 Mamaroneck Ave., #312, White Plains, NY 10605", 914-428-1707,"41.0270217,-73.7648718","67 North Main Street, #101, New City, NY 10956",845-639-3485,"41.1497079,-73.98993",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,4,-2,3,0,0,0,0,0,0,0,1,0,3,3,12,A,,,
Leonard,Lance,House,njlanceleonard.jpg,L000567,RepLanceNJ7,New Jersey,,,Republican,,,"10952 NW Expressway Suite B, Yukon, OK 73099",(405) 373-1958,"35.5916684,-97.717028",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,0,-2,3,0,0,0,0,0,0,0,1,0,3,3,10,A-,,,
Jim,Langevin,House,rilangevinjamesr.jpg,L000559,JimLangevin,Rhode Island,,,Democrat,,,"1301 Clay Street Suite 1000-N, Oakland, CA 94612",(510) 763-0370,"37.8051472,-122.2739897",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,-4,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,-3,-3,-11,F,,,
James,Lankford,Senate,oklankfordjames.jpg,L000575,senatorlankford,Oklahoma,(202) 224-5754,http://www.lankford.senate.gov/content/contact-james,Republican,"1015 North Broadway, Suite 310
Oklahoma City, OK 73102",405-231-4941,"35.477645,-97.5145129","The Remington Tower, Suite 1000
5810 East Skelly Drive
Tulsa, OK 74135",918-581-7651,"36.1024302,-95.9106958",,,,,,,,,,,,,,,,,,,,,-4,1,,,0,0,0,0,0,0,0,-2,0,0,1,-3,0,1,1,1,1,0,0,0,0,C-,,,
Rick,Larsen,House,walarsenrick.jpg,L000560,RepRickLarsen,Washington,,,Democrat,,,"5914 Main Street Suite 103, Mays Landing, NJ 08330-1746",800-471-4450 ,"39.451558,-74.726674",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,0,-2,3,0,0,0,0,0,0,0,1,0,3,3,10,A-,,,
John,Larson,House,ctlarsonjohnb.jpg,L000557,RepJohnLarson,Connecticut,,,Democrat,,,"221 Main Street, 2nd Floor
Hartford, CT 06106",(860) 278-8888,"41.7584264,-72.6757512",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,4,-2,3,0,0,0,0,0,0,0,1,0,3,3,12,A,,,
Robert,Latta,House,ohlattaroberte.jpg,L000566,BobLatta,Ohio,,,Republican,,,"300 Centerville Rd, Suite 200 South
Warwick, RI 02886",(401) 732-9400,"41.6944274,-71.4705546",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,3,0,0,0,0,0,0,0,1,0,3,3,8,B,,,
Brenda,Lawrence,House,milawrencebrenda.png,L000581,,Michigan,,,Democrat,,,"Wall Street Building, 2930 Wetmore Avenue, Suite 9F
Everett, WA 98201
",425-252-3188,"47.9782095,-122.2076462","119 North Commercial Street Suite 1350
Bellingham , WA 98225",360-733-4500,"48.752259,-122.478485",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,4,C,,,
Patrick,Leahy,Senate,vtleahypatrickj.jpg,L000174,SenatorLeahy,Vermont,(202) 224-4242,https://www.leahy.senate.gov/contact/,Democrat,"199 Main Street, 4th Floor
Burlington, VT 05401",800-642-3193,"44.4755303,-73.2112771","87 State Street, PO Box 933
Montpelier, VT 05602",802-229-0569,"44.260913,-72.577603",,,,,,,,,,,,,,,,,,,,,4,1,,,0,4,0,0,0,0,0,0,0,0,1,3,0,1,1,1,1,0,0,0,12,A,,,
Barbara,Lee,House,caleebarbara.jpg,L000551,RepBarbaraLee,California,,,Democrat,,,"88 Black Falcon Avenue, Suite 340 Boston,MA 02210",(617) 428-2000,"42.3438665,-71.024553","155 West Elm Street, Suite 200
Brockton, MA 02301",(508) 586-5555,"42.082256,-71.0255957","1245 Hancock Street, Suite 16 Quincy, MA 02169",617-657-6305,"42.2526962,-71.0049509",,,,,,,,,,,,,,,,,,,,0,0,0,0,4,2,4,0,3,0,0,0,0,0,0,0,4,4,-3,3,21,A+,,,
Mike,Lee,Senate,utleemike.jpg,L000577,SenMikeLee,Utah,(202) 224-5444,http://www.lee.senate.gov/public/index.cfm/contact,Republican,"Wallace F. Bennett Federal Building, Suite 4225
125 South State
Salt Lake City, UT 84138",801-524-5933,"40.7667594,-111.8871069","285 West Tabernacle, Suite 200
St. George, UT 84770",435-628-5514,"37.1078879,-113.5893707",,,,,,,,,,,,,,,,,,,,,4,1,,,0,0,0,0,0,0,0,0,0,0,1,3,0,1,1,1,1,0,0,0,8,B,,,
Sander,Levin,House,milevinsander.jpg,L000263,RepSandyLevin,Michigan,,,Democrat,,,"6245 South Archer Avenue
Chicago, IL 60638", (312) 886 - 0481,"41.7935027,-87.7764272","5309 West 95th Street
Oak Lawn, IL 60453",(708) 424 - 0853,"41.7196691,-87.7536548","Central Square Building
222 E. 9th Street #109
Lockport, IL 60441", (815) 838-1990,"41.5893078,-88.0573003","Orland Park Village Hall
14700 S. Ravinia Avenue
Orland Park, IL 60462", (708) 403-4379,"41.6231109,-87.8561628",,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,3,-3,-1,D+,,,
John,Lewis,House,galewisjohn.jpg,L000287,RepJohnLewis,Georgia,,,Democrat,,,"1125 Kelly Johnson Blvd. Suite 330
Colorado Springs, CO 80920", (719) 520-0055,"38.948315,-104.807763","415 Main Street
Buena Vista, CO 81211", (719) 520-0055,"38.8427855,-106.1285992",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,4,0,3,0,0,0,0,0,0,0,4,0,3,3,19,A+,,,
Ted,Lieu,House,calieuted.jpg,L000582,,California,,,Democrat,,,"209 West 4th Street, #104
Davenport, IA 52801", (563) 323-5988,"41.5235093,-90.5756888","125 South Dubuque Street
Iowa City, IA 52240", (319) 351-0789,"41.659284,-91.533488",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,7,B,,,
Daniel,Lipinski,House,illipinskidanielwilliam.jpg,L000563,RepLipinski,Illinois,,,Democrat,,,"1045 North Main St, Ste 6
Bowling Green, OH 43402", (419) 354-8700,"41.3891592,-83.6511665","101 Clinton St, Ste 1200
Defiance, OH 43512",(419) 782-1996,"41.2881704,-84.3608987","318 Dorney Plaza, Rm 302
Findlay, OH 45840", (419) 422-7791,"41.03828,-83.651685",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,-3,0,-4,D,,,
Frank,LoBiondo,House,njlobiondofranka.jpg,L000554,RepLoBiondo,New Jersey,,,Republican,,,"361 Route 31
(Unit 1400)
Flemington, NJ 08822", (908) 788-6900,"40.5450411,-74.8570729","425 North Avenue East
Westfield, NJ 07090",(908) 518-7733,"40.6514416,-74.3402926",,,,,,,,,,,,,,,,,,,,,,,0,0,0,-4,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,-3,-3,-11,F,,,
David,Loebsack,House,ialoebsackdavid.jpg,L000565,DaveLoebsack,Iowa,,,Democrat,,,"2117 Missouri Boulevard
Jefferson City, Mo., 65109",573) 635-7232,"38.5812965,-92.2067967","113 East Pearce Boulevard
Wentzville, Mo., 63385",636) 327-7055,"38.8122807,-90.8518717","516 Jefferson St.
Washington, MO 63090",636) 239-2276,"38.5563849,-91.01317",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,4,-2,3,0,0,0,0,0,0,0,1,0,3,3,12,A,,,
Zoe,Lofgren,House,calofgrenzoe.jpg,L000397,RepZoeLofgren,California,,,Democrat,,," 1611 Calle Lorca, Suite A • Santa Fe, NM 87505",(505) 984-8950 ,"35.6605721,-105.9631293"," 3200 Civic Center NE Suite 330 • Rio Rancho, NM 87144 ",(505) 994-0499 ,"35.3109178,-106.6851151","800 Municipal Dr. • Farmington, NM 87401 ",(505) 324-1005 ,"36.7378308,-108.216848","110 West Aztec Avenue • Gallup, NM 87301", (505) 863-0582 ,"35.5265112,-108.7414211"," PO Box 1368 • 903 University Ave. • Las Vegas, NM 87701",(505) 454-3038,"35.5948331,-105.218194"," 404 W. Route 66 Blvd. • Tucumcari, NM 88401", (575) 461-3029,"35.1717982,-103.7221882",,,,,,,,,,,0,0,0,0,0,2,4,0,3,0,0,0,0,0,0,0,1,4,3,3,20,A+,,,
Billy,Long,House,molongbilly.jpg,L000576,USRepLong,Missouri,,,Republican,,,"2120 Capitol Ave., Suite 8005
Cheyenne, WY 82001", (307) 772-2595,"41.1375997,-104.8190338","100 E. ""B"" Street, Suite 4003
Casper, WY 82602", (307) 261-6595,"42.8525168,-106.3248323","45 E. Loucks, Suite 300F
Sheridan, WY 82801",(307) 673-4608,"44.7975009,-106.954922",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,0,-2,0,0,0,0,0,0,0,0,1,0,-3,-3,-5,D,,,
Barry,Loudermilk,House,galoudermilkbarry.jpg,L000583,,Georgia,,,Republican,,,"1250 Ironwood Drive, #241
Coeur d'Alene, ID 83814", (208) 667-0127,"47.696778,-116.804109","313 D Street, Suite 107
Lewiston, ID 83501", (208) 743-1388,"46.422158,-117.028638","33 E. Broadway Avenue, Suite 251
Meridian, ID 83642", (208) 888-3188,"43.6096586,-116.3930485",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,4,C,,,
Mia,Love,House,utlovemia.jpg,L000584,,Utah,,,Republican,,,"3232 E. Ridgeview St.
Springfield, MO 65804", (417) 889-1800,"37.1594559,-93.2305312","2727 E. 32nd St. Ste. 2
Joplin, MO 64804",(417) 781-1041,"37.0555183,-94.4832229",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,4,C,,,
Alan,Lowenthal,House,calowenthalalan.jpg,L000579,RepLowenthal,California,,,Democrat,,,"1453 Downer Street
Suite A
Oroville, CA 95965",530) 534-7100,"39.513158,-121.553431","2885 Churn Creek Rd.
Suite C
Redding, CA 96002",(530) 223-5898 ,"40.565758,-122.351892",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,4,0,3,0,0,0,0,0,0,0,4,0,3,3,19,A+,,,
Nita,Lowey,House,nyloweynitam.jpg,L000480,NitaLowey,New York,,,Democrat,,,"100 W. Broadway
West Tower Suite 600
Long Beach , CA 90802", (562) 436-3828,"33.7415317,-118.1941785","Westminster Community Services Building
8200 Westminster Blvd
Westminster, CA 9268", (562) 436-3828,"33.7577568,-117.985887","Purcell Building
11277 Garden Grove Blvd
(Inside Suite 101-A)
Garden Grove, California",(562) 436-3828,"33.8098405,-117.8620036","City of Cypress City Hall
5275 Orange Ave
Cypress, CA 90630",(562) 436-3828,"33.8249032,-118.0404719","City of Stanton City Hall
7800 Katella Ave
Stanton, CA 90680",562) 436-3828,"33.8023264,-117.9964093",,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,3,0,0,0,0,0,0,0,1,0,3,3,8,B,,,
Frank,Lucas,House,oklucasfrankd.jpg,L000491,RepFrankLucas,Oklahoma,,,Republican,,,"400 Gold Avenue SW
Suite 680
Albuquerque, NM 87102",(505) 346-6781,"35.0832828,-106.6520779",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,-3,-3,-7,D,,,
Blaine,Luetkemeyer,House,moluetkemeyerblaine.jpg,L000569,RepBlainePress,Missouri,,,Republican,,,"26700 Lahser Road, Suite 330

Southfield, MI 48033",(248) 356-2052,"42.4837941,-83.2610959",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,0,-2,3,0,0,0,0,0,0,0,1,0,-3,3,4,C,,,
Ben,Luján,House,nmlujanben.jpg,L000570,RepBenRayLujan,New Mexico,,,Democrat,,,"5055 Wilshire Boulevard, Suite 310
Los Angeles, CA 90036",(323) 651-1040,"34.0623508,-118.340189","1600 Rosecrans Avenue, 4th Floor
Manhattan Beach, CA 90266",(310) 321-7664,"33.9015371,-118.3839484",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,4,-2,3,0,0,0,0,0,0,0,1,0,3,0,11,A-,,,
Michelle,Lujan Grisham,House,nmgrishammichellelujan.jpg,L000580,RepLujanGrisham,New Mexico,,,Democrat,,,"9898 Highway 92, Suite 100
Woodstock, GA 30188",770-429-1776,"34.0856493,-84.5248604","135 West Cherokee Avenue, Suite 122
Cartersville, GA 30120",770-429-1776,"34.1652791,-84.7974574",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,4,-2,0,0,0,0,0,0,0,0,1,0,3,3,9,B+,,,
Cynthia,Lummis,House,wylummiscynthiam.jpg,L000571,CynthiaLummis,Wyoming,,,Republican,,,"9067 South 1300 West Suite101
West Jordan, UT 84088", 801-996-8729,"40.5865883,-111.9269136",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,4,4,-3,3,15,A+,,,
Stephen,Lynch,House,malynchstephenf.jpg,L000562,RepStephenLynch,Massachusetts,,,Democrat,,,"1651 3rd Avenue, Suite 311
New York, NY 10128-3679", 212-860-0606,"40.7827544,-73.9507667","31-19 Newtown Ave.
Astoria, NY 11102-1391",718-932-1804,"40.767181,-73.9204651","619 Lorimer Street
Brooklyn, NY 11211-2228", 718-349-5972,"40.715566,-73.9499072",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,4,-2,3,0,0,0,0,0,0,0,1,0,3,3,14,A,,,
Tom,MacArthur,House,njmacarthurtom.jpg,M001193,,New Jersey,,,Republican,,,"24 Church Street, Room 29
Leominster, MA 01453", 978-466-3552,"42.5278832,-71.7608342","94 Pleasant Street
Northampton, MA 01060", 413-341-8700,"42.3185189,-72.628332","12 East Worcester Street
Suite 1
Worcester, MA 01604", 508-831-7356,"42.2628456,-71.7902954",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3,0,-2,D+,,,
Carolyn,Maloney,House,nymaloneycarolyn.jpg,M000087,RepMaloney,New York,,,Democrat,,,"1809 7th street suite 409 seattle, washington 98101",206-553-7170,"47.613666,-122.3356597",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,4,-2,3,0,0,0,0,0,0,0,1,0,3,3,14,A,,,
Sean,Maloney,House,nymaloneyseanpatrick.jpg,M001185,RepSeanMaloney,New York,,,Democrat,,,"100 East Sybelia Avenue, Suite 340
Maitland, FL 32751-4495",407-657-8080,"28.6309815,-81.3649124","95 East Mitchell Hammock Rd, Suite 202
Oviedo, FL 32765",407-366-0833,"28.65625,-81.206559","840 Deltona Blvd., Ste. G
Deltona, FL 32725",(386) 860-1499,"28.8858359,-81.2773212",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,3,0,0,0,0,0,0,0,1,0,3,3,8,B,,,
Joe,Manchin,Senate,wvmanchinjoeiii.jpg,M001183,Sen_JoeManchin,West Virginia,(202) 224-3954,http://www.manchin.senate.gov/public/index.cfm/contact-form,Democrat,"900 Pennsylvania Avenue, Suite 629
Charleston, WV 25302",304-342-5855,"38.3590593,-81.635236","261 Aikens Center, Suite 305
Martinsburg, WV 25404-6203",304-264-4626,"39.4863481,-77.9590798",,,,,,,,,,,,,,,,,,,,,-,1,,,0,0,0,0,0,0,0,0,0,0,1,3,0,1,1,1,1,0,0,0,8,B,,,
Kenny,Marchant,House,txmarchantkenny.jpg,M001158,RepKenMarchant,Texas,,,Republican,,,"67-12 Rockaway Beach Boulevard
Arverne, NY 11692",(347) 230-4032,"40.5907007,-73.796373","153-01 Jamaica Avenue 2nd floor
Jamaica, NY 11432",(718) 725-6000,"40.7030168,-73.8020422",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,4,0,3,0,0,0,0,0,0,0,1,4,-3,3,14,A,,,
Tom,Marino,House,pamarinothomasa.jpg,M001179,RepTomMarino,Pennsylvania,,,Republican,,,"165 Western Avenue North, Suite #17
St. Paul, Minnesota 55102", (651) 224-9191,"44.946385,-93.1163366",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,-3,-3,-7,D,,,
Ed,Markey,Senate,markey.jpg,M000133,SenMarkey,Massachusetts,(202) 224-2742,http://www.markey.senate.gov/contact,Democrat,"JFK Federal Building, Suite 975
15 New Sudbury Street
Boston, MA 02203",617-565-8519,"42.3618347,-71.0597445","222 Milliken Boulevard, Suite 312
Fall River, MA 02721
",508-677-0523,"41.6999043,-71.1588384","1550 Main Street, 4th Floor
Springfield, MA 01101
",413-785-4610,"42.1032163,-72.5929445",,,,,,,,,,,,,,,,,,4,1,,,3,4,0,0,0,0,0,0,0,0,1,3,0,1,1,1,1,0,0,0,15,A+,,,
Thomas,Massie,House,kymassiethomas.jpg,M001184,RepThomasMassie,Kentucky,,,Republican,,,"4300 Bayou Blvd., Suite 13
Pensacola, Florida 32503", (850) 479-1183,"30.4667954,-87.203464","348 S.W. Miracle Strip Parkway, Suite 24
Fort Walton Beach, Florida 32548", (850) 664-1266,"30.406527,-86.638923",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,4,2,4,0,3,0,0,0,0,0,0,0,4,4,3,3,27,A+,,,
Doris,Matsui,House,camatsuirobertt.jpg,M001163,DorisMatsui,California,,,Democrat,,,"48701 Van Dyke Ave.
Shelby Township, MI 48317",(586) 997-5010,"42.653045,-83.033869",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,4,0,3,0,0,0,0,0,0,0,1,0,3,3,16,A+,,,
John,McCain,Senate,azmccainjohn.jpg,M000303,SenJohnMcCain,Arizona,(202) 224-2235,http://www.mccain.senate.gov/public/index.cfm/contact-form,Republican,"2201 East Camelback Road, Suite 115
Phoenix, AZ 85016",602-952-2410,"33.5089836,-112.0339775","122 North Cortez Street, Suite 108
Prescott, AZ 86301",928-445-0833,"34.542708,-112.469108","407 West Congress Street, Suite 103
Tucson, AZ 85701",520-670-6334,"32.220746,-110.97751",,,,,,,,,,,,,,,,,,-,-4,,,0,0,0,0,0,0,0,0,0,0,-4,-3,0,-3,-2,-3,-4,0,0,0,-19,F,,,
Kevin,McCarthy,House,camccarthykevin.jpg,M001165,GOPWhip,California,,,Republican,,,"504 Washington Road
Pittsburgh, PA 15228",(412) 344-5583,"40.384129,-80.0440314","2040 Frederickson Place
Greensburg, PA 15601",(724) 850-7312,"40.2913011,-79.5745881",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,-3,-3,-7,D,,,
Claire,McCaskill,Senate,momccaskillclaire.jpg,M001170,McCaskillOffice,Missouri,(202) 224-6154,http://www.mccaskill.senate.gov/contact,Democrat,"28 North 8th Street, Suite 500
Columbia, MO 65201",573-442-7130,"38.952407,-92.328281","5850 Delmar Boulevard, Suite A
St. Louis, MO 63112",314-367-1364,"38.6541519,-90.2888775","555 Independence Avenue, Room 1600
Cape Girardeau, MO 63701",573-651-0964,"37.3039631,-89.5248161","4141 Pennsylvania, Suite 101
Kansas City, MO 64111",816-421-1639,"39.051963,-94.590285","324 Park Central West, Suite 101
Springfield, MO 65806",417-868-8745,"37.2089184,-93.2940577",,,,,,,,,,,,-,1,,,0,0,0,0,0,0,0,0,0,4,1,3,0,1,1,1,1,0,0,0,12,A,,,
Michael,McCaul,House,txmccaulmichaelt.jpg,M001157,McCaulPressShop,Texas,,,Republican,,,"87 4th St. NW, Ste A, PO Box 1830
Hickory, NC 28603", 828.327.6100,"35.7328005,-81.3450235","Suite 115
Gaston County Administrative Bldg
128 West Main Avenue
Gastonia, NC  28052",704.833.0096,"35.2641049,-81.1825879","160 Midland Avenue
Black Mountain, NC  28711",828.669.0600,"35.619814,-82.3197859",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,-3,-3,-7,D,,,
Tom,McClintock,House,camcclintocktom.jpg,M001177,RepMcClintock,California,,,Republican,,,"9009 Mountain Ridge Drive
Austin Building, Suite 230
Austin, TX 78759",512-473-2357,"30.386586,-97.752445","2000 S. Market Street, Suite 303
Brenham, TX 77833",979-830-8497,"30.1510573,-96.391237","1773 Westborough Drive, Suite 223
Katy Commerce Center
Katy, TX 77449",(281) 398-1247,"29.7915789,-95.7318568","990 Village Square, Suite B
Rosewood Professional Building
Tomball, TX 77375", 281-255-8372,"42.911263,-85.802536",,,,,,,,,,,,,,,,,0,0,0,0,0,2,4,0,3,0,0,0,0,0,0,0,4,4,3,3,23,A+,,,
Betty,McCollum,House,mnmccollumbetty.jpg,M001143,BettyMcCollum04,Minnesota,,,Democrat,,,"9901 E. Valley Ranch Pkwy., Ste. 2060
Irving, TX 75063", 972.556.0162,"32.939781,-96.951262",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,4,2,4,0,3,0,0,0,0,0,0,0,1,4,3,3,24,A+,,,
Mitch,McConnell,Senate,kymcconnellmitch.jpg,M000355,McConnellPress,Kentucky,(202) 224-2541,http://www.mcconnell.senate.gov/public/index.cfm?p=ContactForm,Republican,"300 South Main Street, Suite 310
London, KY 40741",606-864-2026,"37.125825,-84.0809384","771 Corporate Drive, Suite 108
Lexington, KY 40503",859-224-8286,"38.0134145,-84.5524358","601 West Broadway, Room 630
Louisville, KY 40202",502-582-6304,"38.246741,-85.762501","100 Fountain Avenue, Suite 300
Paducah, KY 42001",270-442-4554,"37.0792058,-88.6173447","Federal Building, Room 102
241 East Main Street
Bowling Green, KY 42101",270-781-1673,"36.9948834,-86.4429537","1885 Dixie Higyway, Suite 345
Fort Wright, KY 41011",859-578-0188,"39.0575375,-84.5429981",,,,,,,,,-,-4,,,0,0,0,0,0,0,0,0,0,0,-4,3,0,-3,-2,-3,-4,0,0,0,-13,F,,,
Jim,McDermott,House,wamcdermottjim.jpg,M000404,RepJimMcDermott,Washington,,,Democrat,,,"10 North Post, Suite 625
Spokane, WA 99201",509-353-2374,"47.6576154,-117.4233598","555 South Main Street
Colville, WA 99114", 509-684-3481,"48.5392665,-117.9052868","26 E. Main Street, Suite 2
Walla Walla, WA 99362", 509-529-9358,"46.066972,-118.3382276",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,4,-2,3,0,0,0,0,0,0,0,1,0,3,3,14,A,,,
Jim,McGovern,House,mamcgovernjamesp.jpg,M000312,RepMcGovern,Massachusetts,,,Democrat,,,"316 N Milwaukee St STE 406
Milwaukee, WI 53202",(414) 297-1140,"43.0344209,-87.9058355",,,,,,,,,,,,,,,,,,,,,,July 13: politicalpartytime.org/party/38997/,,,,0,0,0,0,4,2,4,0,3,0,0,0,0,0,0,0,4,4,3,3,27,A+,,,
Patrick,McHenry,House,ncmchenrypatrick.jpg,M001156,PatrickMcHenry,North Carolina,,,Republican,,,"Robert T. Matsui U.S. Courthouse
501 I Street, Suite 12-600
Sacramento, CA 95814",(916) 498-5600,"38.5824933,-121.4941738",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,4,-2,3,0,0,0,0,0,0,0,1,0,-3,3,6,C+,,,
David,McKinley,House,wvmckinleydavidb.jpg,M001180,RepMcKinley,West Virginia,,,Republican,,,"4100 Empire Drive
Suite 150
Bakersfield, CA 93309",(661) 327-3611,"35.3750182,-119.0467701",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,3,0,0,0,0,0,0,0,1,0,-3,3,2,C-,,,
Cathy,McMorris Rodgers,House,warodgerscathymcmorris.jpg,M001159,CathyMcMorris,Washington,,,Republican,,,"Antioch Community Center
4703 Lone Tree Way
Antioch, CA 94531",(925) 754-0716,"37.9661109,-121.7737476","2222 Grand Canal Blvd. #7
Stockton, CA 9520",(209) 476-8552,"37.9843729,-121.3333037",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,4,-2,3,0,0,0,0,0,0,0,1,0,-3,3,6,C+,,,
